HTTrack3.48-22+htsswf+htsjava launched on Sun, 26 Feb 2017 09:46:26 at http://gameport.wiledia.com/ +*.png +*.gif +*.jpg +*.jpeg +*.css +*.js -ad.doubleclick.net/* -mime:application/foobar
(winhttrack -qwC2%Ps2u1%s%uN0%I0p3DaK0H0%kf2A25000%f#f -F "Mozilla/4.5 (compatible; HTTrack 3.0x; Windows 98)" -%F "<!-- Mirrored from %s%s by HTTrack Website Copier/3.x [XR&CO'2014], %s -->" -%l "pt_BR, en, *" http://gameport.wiledia.com/ -O1 "C:\Meus Sites\Gamestore" +*.png +*.gif +*.jpg +*.jpeg +*.css +*.js -ad.doubleclick.net/* -mime:application/foobar )

Information, Warnings and Errors reported for this mirror:
note:	the hts-log.txt file, and hts-cache folder, may contain sensitive information,
	such as username/password authentication for websites mirrored in this project
	do not share these files/folders if you want these information to remain private

10:00:20	Warning: 	File has moved from gameport.wiledia.com/login/facebook to https://www.facebook.com/v2.8/dialog/oauth?client_id=190395918101722&redirect_uri=http%3A%2F%2Fgameport.wiledia.com%2Flogin%2Ffacebook&scope=email&response_type=code&state=J7ytWvUznVfOf8vy8i3TY0lr9Zp7kOyZ6imFdZZ6
10:00:20	Warning: 	Found for gameport.wiledia.com/listings/sleeping-dogs-definitive-edition-xboxone-ollin.ruiz-280
10:00:20	Warning: 	File has moved from gameport.wiledia.com/listings/sleeping-dogs-definitive-edition-xboxone-ollin.ruiz-280 to http://gameport.wiledia.com/listings/sleeping-dogs-definitive-edition-xboxone-ollinruiz-280
10:00:21	Error: 	"Not Found" (404) at link gameport.wiledia.com/games/244/media (from gameport.wiledia.com/listings/fifa-17-xboxone-jessejanson-273)
10:00:21	Error: 	"Not Found" (404) at link gameport.wiledia.com/games/155/media (from gameport.wiledia.com/listings/gears-of-war-4-xboxone-carlosrojasbellota-257)
10:00:22	Warning: 	Retry after error -4 (No data (connection closed)) at link gameport.wiledia.com/images/avatar_square/1486339961-192.jpg (from gameport.wiledia.com/user/james)
10:00:23	Error: 	"Not Found" (404) at link gameport.wiledia.com/games/296/media (from gameport.wiledia.com/listings/overwatch-xboxone-ruandeyzel-190)
10:00:24	Error: 	"Not Found" (404) at link gameport.wiledia.com/games/144/media (from gameport.wiledia.com/listings/sunset-overdrive-xboxone-andy-71)
10:00:24	Error: 	"Not Found" (404) at link gameport.wiledia.com/games/140/media (from gameport.wiledia.com/listings/madden-nfl-17-xboxone-andy-65)
10:00:24	Error: 	"Not Found" (404) at link gameport.wiledia.com/games/129/media (from gameport.wiledia.com/listings/dead-rising-4-xboxone-andy-58)
10:00:24	Warning: 	Found for gameport.wiledia.com/lang/de
10:00:24	Warning: 	File has moved from gameport.wiledia.com/lang/de to http://gameport.wiledia.com/listings/xboxone
10:00:24	Warning: 	Retry after error -4 (No data (connection closed)) at link gameport.wiledia.com/listings/counter-strike-pc--286 (from gameport.wiledia.com/listings/pc)
10:00:24	Error: 	"Not Found" (404) at link gameport.wiledia.com/games/313/media (from gameport.wiledia.com/listings/counter-strike-pc-testuser-262)
10:00:26	Error: 	"Not Found" (404) at link gameport.wiledia.com/games/237/media (from gameport.wiledia.com/listings/league-of-legends-pc-alexandrelecorre-237)
10:00:26	Error: 	"Not Found" (404) at link gameport.wiledia.com/games/172/media (from gameport.wiledia.com/listings/grand-theft-auto-v-pc-juaneduardosalazar-220)
10:00:26	Warning: 	Retry after error -4 (No data (connection closed)) at link gameport.wiledia.com/games/256/media (from gameport.wiledia.com/listings/overwatch-pc-lionelbovy-213)
10:00:27	Error: 	"Not Found" (404) at link gameport.wiledia.com/games/304/media (from gameport.wiledia.com/listings/zoo-tycoon-2-african-adventure-pc-james-204)
10:00:27	Error: 	"Not Found" (404) at link gameport.wiledia.com/games/164/media (from gameport.wiledia.com/listings/deus-ex-mankind-divided-pc-werefreak-127)
10:00:27	Warning: 	Retry after error -4 (No data (connection closed)) at link gameport.wiledia.com/login/google (from gameport.wiledia.com/listings/pc)
10:00:27	Error: 	"Not Found" (404) at link gameport.wiledia.com/games/114/media (from gameport.wiledia.com/listings/super-mario-3d-world-wii-u-mummers-166)
10:00:28	Error: 	"Not Found" (404) at link gameport.wiledia.com/games/130/media (from gameport.wiledia.com/listings/splatoon-wii-u-peterranken-74)
10:00:28	Error: 	"Not Found" (404) at link gameport.wiledia.com/games/259/media (from gameport.wiledia.com/listings/counter-strike-global-offensive-ps3-esohalilovic-279)
10:00:28	Error: 	"Not Found" (404) at link gameport.wiledia.com/games/189/media (from gameport.wiledia.com/listings/fifa-17-xbox360-abc-260)
